 Off Market Transaction 

MEMBER , TO , MEMBER 

Date ,SETTLEMENT DATE ,MEMBER CODE,SYMBOL CODE,COMPANY ,TURNOVER ,RATE ,VALUES 

01-Sep-25,30-Sep-25,(+) 019 (-) 094,ACPL,Attock Cement,50000,298.70,14935000
01-Sep-25,30-Sep-25,(+) 019 (-) 094,KOHC,Kohat Cement,450000,107.40,48330000
01-Sep-25,30-Sep-25,(+) 028 (-) 094,KOHC,Kohat Cement,100000,107.40,10740000
01-Sep-25,02-Sep-25,(+) 044 (-) 022,ASC,Al-Shaheer Corp,43750,22.87,1000562
01-Sep-25,03-Sep-25,(+) 084 (-) 022,TPL,TPL Corp Ltd,300000,9.80,2940000
01-Sep-25,03-Sep-25,(+) 090 (-) 149,PSX,Pak Stock Exchange,2918257,33.00,96302481
01-Sep-25,03-Sep-25,(+) 094 (-) 019,ACPL,Attock Cement,50000,295.00,14750000
01-Sep-25,02-Sep-25,(+) 094 (-) 019,KOHC,Kohat Cement,450000,106.00,47700000
01-Sep-25,02-Sep-25,(+) 094 (-) 028,KOHC,Kohat Cement,100000,106.00,10600000
01-Sep-25,03-Sep-25,(+) 094 (-) 525,NRL,National Refinery,15000,320.00,4800000
01-Sep-25,03-Sep-25,(+) 102 (-) 084,NRL,National Refinery,20000,313.74,6274800
01-Sep-25,02-Sep-25,(+) 164 (-) 102,FABL,Faysal Bank,500,75.00,37500
01-Sep-25,03-Sep-25,(+) 166 (-) 149,TPLP,TPL Properties,4000000,10.25,41000000
01-Sep-25,03-Sep-25,(+) 194 (-) 149,HTL,HI-Tech Lub.,3295049,46.30,152560769
01-Sep-25,02-Sep-25,(+) 525 (-) 145,PPL,Pak Petroleum,1000,178.00,178000

CROSS ,TRANSACTIONS, BETWEEN, CLIENT TO ,CLIENT & FINANCIAL, INSTITUTIONS 

Date ,SETTLEMENT DATE ,MEMBER CODE,SYMBOL CODE,COMPANY ,TURNOVER ,RATE ,VALUES 

01-Sep-25,02-Sep-25,006,FABL,Faysal Bank,3000,74.23,222690
01-Sep-25,03-Sep-25,006,TPL,TPL Corp Ltd,3250000,10.00,32500000
01-Sep-25,02-Sep-25,022,PABC,Pakistan Alumin,2000,152.50,305000
01-Sep-25,01-Sep-25,046,HCAR,Honda Atlas Cars,500,294.00,147000
01-Sep-25,03-Sep-25,049,MARI,Mari Energies Ltd.,15000,627.00,9405000
01-Sep-25,03-Sep-25,049,NRL,National Refinery,5000,295.90,1479500
01-Sep-25,02-Sep-25,084,AKBL,Askari BankXD,5000,75.50,377500
01-Sep-25,01-Sep-25,088,FLYNG,Flying Cement,500,53.87,26935
01-Sep-25,01-Sep-25,088,TOMCL,The Organic Meat,500,53.00,26500
01-Sep-25,01-Sep-25,088,WAVES,Waves Corp Ltd.,1000,10.97,10970
01-Sep-25,01-Sep-25,088,MLCF,Maple Leaf,3000,101.50,304500
01-Sep-25,01-Sep-25,088,OGDC,Oil & Gas Dev,500,266.20,133100
01-Sep-25,02-Sep-25,102,MUGHAL,Mughal Iron,9000,76.00,684000
01-Sep-25,01-Sep-25,107,PACE,Pace (Pak) Ltd.,500,7.80,3900
01-Sep-25,01-Sep-25,107,PRL,Pak Refinery,2000,30.65,61300
01-Sep-25,01-Sep-25,107,TOMCL,The Organic Meat,500,54.40,27200
01-Sep-25,03-Sep-25,124,PSO,P.S.O.,126000,402.95,50771700
01-Sep-25,02-Sep-25,135,JVDC,Javedan Corp.,4000,81.50,326000
01-Sep-25,02-Sep-25,145,PACE,Pace (Pak) Ltd.,500,7.65,3825
01-Sep-25,02-Sep-25,145,TOMCL,The Organic Meat,1000,52.51,52510
01-Sep-25,02-Sep-25,145,INIL,Int. Ind.Ltd.,500,214.94,107470
01-Sep-25,03-Sep-25,149,BOP,B.O.Punjab,200000,14.10,2820000
01-Sep-25,03-Sep-25,188,BOP,B.O.Punjab,50000,16.60,830000
01-Sep-25,01-Sep-25,193,PRL,Pak Refinery,2000,32.00,64000
01-Sep-25,01-Sep-25,193,NBP,National BankXD,700,152.40,106680
01-Sep-25,01-Sep-25,193,BOP,B.O.Punjab,10500,16.58,174090
01-Sep-25,02-Sep-25,194,SYS,Systems Limited,500,136.10,68050
01-Sep-25,02-Sep-25,194,DGKC,D.G.K.Cement,30000,209.10,6273000
01-Sep-25,02-Sep-25,194,DGKC,D.G.K.Cement,27500,209.30,5755750
01-Sep-25,01-Sep-25,524,SNAI,Sana Ind.,18000,27.82,500760
01-Sep-25,02-Sep-25,525,TOMCL,The Organic Meat,500,51.00,25500
01-Sep-25,01-Sep-25,525,NRL,National Refinery,1500,296.00,444000
01-Sep-25,02-Sep-25,526,MLCF,Maple Leaf,1000000,96.12,96120000
01-Sep-25,03-Sep-25,984,BOP,B.O.Punjab,200000,13.58,2716000
