"Symbol","Name","Trade Volume","Trade Value","UIN Settlement Volume ","UIN Settlement Value ","UIN Percentage Volume","UIN Percentage Value "
"NAGC","NAGINA COTTON MILLS LIMITED","100.00"," 7,490.00 ","100.00"," 7,490.00 ","100.00 ","100.00 "
"NATF","NATIONAL FOODS LIMITED","797,324.00"," 307,072,652.83 ","561,101.00"," 216,506,927.89 ","70.37 ","70.51 "
"NBP","NATIONAL BANK OF PAKISTAN","16,547,518.00"," 2,499,453,683.07 ","7,060,505.00"," 1,102,464,562.78 ","42.67 ","44.11 "
"NBPGETF","NBP PAKISTAN GROWTH EXCHANGE TRADED FUND","13,000.00"," 340,085.00 ","10,500.00"," 275,210.00 ","80.77 ","80.92 "
"NCL","NISHAT (CHUNIAN) LIMITED","104,665.00"," 4,900,962.76 ","81,102.00"," 3,821,890.16 ","77.49 ","77.98 "
"NCML","NAZIR COTTON MILLS LIMITED","4,753.00"," 61,116.04 ","3,846.00"," 49,683.24 ","80.92 ","81.29 "
"NCPL","NISHAT CHUNIAN POWER LIMITED","522,818.00"," 14,584,539.72 ","515,085.00"," 14,369,375.44 ","98.52 ","98.52 "
"NESTLE","NESTLE PAKISTAN LIMITED","541.00"," 4,362,341.06 ","449.00"," 3,622,982.83 ","82.99 ","83.05 "
"NETSOL","NETSOL TECHNOLOGIES LIMITED","625,228.00"," 89,850,218.84 ","603,750.00"," 86,771,309.35 ","96.56 ","96.57 "
"NEXT","NEXT CAPITAL LIMITED","436,382.00"," 5,415,254.73 ","374,071.00"," 4,659,850.17 ","85.72 ","86.05 "
"NICL","NIMIR INDUSTRIAL CHEMICALS LIMITED","25,009.00"," 4,299,344.09 ","21,174.00"," 3,638,886.49 ","84.67 ","84.64 "
"NITGETF","NIT PAK. GATEWAY EXCHANGE TRADED FUND","24,000.00"," 754,105.00 ","22,000.00"," 691,115.00 ","91.67 ","91.65 "
"NML","NISHAT MILLS LIMITED","556,570.00"," 77,885,776.86 ","345,280.00"," 50,263,179.95 ","62.04 ","64.53 "
"NONS","NOON SUGAR MILLS LIMITED","5,345.00"," 427,922.10 ","5,335.00"," 427,082.20 ","99.81 ","99.80 "
"NPL","NISHAT POWER LIMITED","938,869.00"," 37,281,594.71 ","818,853.00"," 32,527,482.26 ","87.22 ","87.25 "
"NRL","NATIONAL REFINERY LIMITED","2,327,988.00"," 641,066,537.37 ","919,807.00"," 254,137,009.81 ","39.51 ","39.64 "
"NRSL","NIMIR RESINS LIMITED","352,064.00"," 11,576,946.34 ","329,351.00"," 10,823,978.88 ","93.55 ","93.50 "
"NSRM","THE NATIONAL SILK & RAYON MILLS LIMITED","113.00"," 12,084.48 ","111.00"," 11,870.78 ","98.23 ","98.23 "
