"Symbol","Name","Trade Volume","Trade Value","UIN Settlement Volume ","UIN Settlement Value ","UIN Percentage Volume","UIN Percentage Value "
"NRSL","NIMIR RESINS LIMITED","2,255,517.00"," 74,146,559.88 ","1,749,332.00"," 57,445,743.80 ","77.56 ","77.48 "
"NSRM","THE NATIONAL SILK & RAYON MILLS LIMITED","1,796.00"," 177,512.25 ","1,209.00"," 118,823.39 ","67.32 ","66.94 "
"OBOY","OILBOY ENERGY LIMITED","18,480.00"," 170,784.73 ","18,480.00"," 170,784.73 ","100.00 ","100.00 "
"OCTOPUS","OCTOPUS DIGITAL LIMITED","284,367.00"," 15,259,493.42 ","161,844.00"," 8,690,754.62 ","56.91 ","56.95 "
"OGDC","OIL & GAS DEVELOPMENT COMPANY LIMITED","23,975,831.00"," 6,340,375,282.24 ","8,376,415.00"," 2,295,864,219.91 ","34.94 ","36.21 "
"OLPL","OLP FINANCIAL SERVICES PAKISTAN LIMITED","117,440.00"," 5,050,994.22 ","117,390.00"," 5,048,844.22 ","99.96 ","99.96 "
"OLPM","OLP MODARABA","6,749.00"," 136,503.30 ","6,749.00"," 136,503.30 ","100.00 ","100.00 "
"OML","OLYMPIA MILLS LIMITED","5,155.00"," 208,969.25 ","2,610.00"," 106,342.71 ","50.63 ","50.89 "
"ORM","ORIENT RENTAL MODARABA","11,826.00"," 129,659.11 ","11,826.00"," 129,659.11 ","100.00 ","100.00 "
"OTSU","OTSUKA PAKISTAN LIMITED","9,025.00"," 2,392,171.05 ","7,899.00"," 2,091,529.22 ","87.52 ","87.43 "
"P01GIS031225","1 YEAR GIS-DISCOUNTED-MATURITY 03-12-25","1.00"," 4,853.00 ","1.00"," 4,853.00 ","100.00 ","100.00 "
"P01GIS061125","1 YEAR GIS-DISCOUNTED-MATURITY 06-11-25","200,000.00"," 977,700,000.00 ","200,000.00"," 977,700,000.00 ","100.00 ","100.00 "
"P01GIS080126","1 YEAR GIS-DISCOUNTED-MAT DATE 08-01-26","1.00"," 4,805.00 ","1.00"," 4,805.00 ","100.00 ","100.00 "
"P01GIS150825","1 YEAR GIS-DISCOUNTED-MATURITY 15AUG25","1.00"," 4,995.50 ","1.00"," 4,995.50 ","100.00 ","100.00 "
"P01GIS201025","1 YEAR GIS-DISCOUNTED-MATURITY 20-10-25","14,001.00"," 68,674,909.50 ","14,001.00"," 68,674,909.50 ","100.00 ","100.00 "
"P01GIS290526","1 YEAR GIS-DISCOUNTED-MATURITY 29MAY26","1.00"," 4,633.00 ","1.00"," 4,633.00 ","100.00 ","100.00 "
"P05VRR211029","5 YEAR GIS-VRR-MATURITY DATE 21-OCT-29","200,000.00"," 1,050,483,720.00 ","200,000.00"," 1,050,483,720.00 ","100.00 ","100.00 "
"P10FRR211034","10 YEAR GIS-FRR-MATURITY DATE 21-OCT-34","12,500.00"," 69,438,467.50 ","12,500.00"," 69,438,467.50 ","100.00 ","100.00 "
"PABC","PAKISTAN ALUMINIUM BEVERAGE CANS LTD","237,152.00"," 37,669,267.02 ","155,775.00"," 24,803,490.80 ","65.69 ","65.85 "
"PACE","PACE (PAKISTAN) LIMITED","1,207,444.00"," 7,221,233.89 ","1,081,172.00"," 6,466,690.16 ","89.54 ","89.55 "
"PAEL","PAK ELEKTRON LIMITED","4,092,162.00"," 163,983,399.97 ","2,449,659.00"," 102,190,158.22 ","59.86 ","62.32 "
"PAKD","PAK DATACOM LIMITED","13,391.00"," 2,937,666.61 ","12,015.00"," 2,637,313.32 ","89.72 ","89.78 "
"PAKOXY","PAKISTAN OXYGEN LIMITED","4,663.00"," 1,135,383.28 ","4,466.00"," 1,087,925.34 ","95.78 ","95.82 "
"PAKRI","PAKISTAN REINSURANCE COMPANY LIMITED","207,168.00"," 3,051,510.53 ","179,908.00"," 2,644,688.85 ","86.84 ","86.67 "
"PAKT","PAKISTAN TOBACCO COMPANY LIMITED","627,458.00"," 851,146,782.92 ","380,427.00"," 515,959,475.47 ","60.63 ","60.62 "
