"Symbol","Name","Trade Volume","Trade Value","UIN Settlement Volume ","UIN Settlement Value ","UIN Percentage Volume","UIN Percentage Value "
"786","786 INVESTMENT LIMITED","138,767.00"," 1,415,460.78 ","78,686.00"," 812,772.19 ","56.70 ","57.42 "
"AABS","AL-ABBAS SUGAR MILLS LIMITED","328.00"," 285,390.00 ","298.00"," 259,490.78 ","90.85 ","90.92 "
"AATM","ALI ASGHAR TEXTILE MILLS LIMITED","13,729.00"," 1,065,612.34 ","13,536.00"," 1,050,659.28 ","98.59 ","98.60 "
"ABL","ALLIED BANK LIMITED","1,500,950.00"," 320,173,889.56 ","585,579.00"," 125,161,644.42 ","39.01 ","39.09 "
"ABOT","ABBOTT LABORATORIES (PAKISTAN) LIMITED","36,610.00"," 40,259,480.02 ","35,357.00"," 38,878,345.16 ","96.58 ","96.57 "
"ACIETF","ALFALAH CONSUMER INDEX EXC. TRADED FUND","13,000.00"," 206,825.00 ","11,500.00"," 182,820.00 ","88.46 ","88.39 "
"ACPL","ATTOCK CEMENT PAKISTAN LIMITED","3,028,874.00"," 917,106,543.89 ","1,782,499.00"," 540,267,987.36 ","58.85 ","58.91 "
"ADAMS","ADAM SUGAR MILLS LIMITED","54.00"," 3,510.00 ","54.00"," 3,510.00 ","100.00 ","100.00 "
"ADMM","ARTISTIC DENIM MILLS LIMITED","236,517.00"," 16,431,548.62 ","75,680.00"," 5,260,138.25 ","32.00 ","32.01 "
"AGHA","AGHA STEEL INDUSTRIES LIMITED","541,693.00"," 4,894,132.09 ","460,432.00"," 4,160,813.48 ","85.00 ","85.02 "
"AGIC","ASKARI GENERAL INSURANCE COMPANY LTD","36,275.00"," 1,649,179.74 ","30,369.00"," 1,380,585.00 ","83.72 ","83.71 "
"AGIL","AGRIAUTO INDUSTRIES LIMITED","45,333.00"," 6,112,847.28 ","40,463.00"," 5,457,669.76 ","89.26 ","89.28 "
"AGL","AGRITECH LIMITED","265,351.00"," 14,453,303.52 ","221,560.00"," 12,073,156.26 ","83.50 ","83.53 "
"AGP","AGP LIMITED","162,882.00"," 32,997,312.86 ","109,980.00"," 22,304,290.58 ","67.52 ","67.59 "
"AGSML","ABDULLAH SHAH GHAZI SUGAR MILLS LIMITED","429,816.00"," 3,571,418.66 ","330,518.00"," 2,751,740.90 ","76.90 ","77.05 "
