"Symbol","Name","Trade Volume","Trade Value","UIN Settlement Volume ","UIN Settlement Value ","UIN Percentage Volume","UIN Percentage Value "
"786","786 INVESTMENT LIMITED","25,103.00"," 253,737.25 ","25,092.00"," 253,627.14 ","99.96 ","99.96 "
"AABS","AL-ABBAS SUGAR MILLS LIMITED","59.00"," 54,041.29 ","49.00"," 44,854.91 ","83.05 ","83.00 "
"AATM","ALI ASGHAR TEXTILE MILLS LIMITED","157,376.00"," 8,974,276.24 ","107,157.00"," 6,123,564.12 ","68.09 ","68.23 "
"ABL","ALLIED BANK LIMITED","443,995.00"," 89,292,341.30 ","330,724.00"," 66,415,799.48 ","74.49 ","74.38 "
"ABOT","ABBOTT LABORATORIES (PAKISTAN) LIMITED","4,650.00"," 5,028,933.00 ","4,489.00"," 4,854,436.97 ","96.54 ","96.53 "
"ACIETF","ALFALAH CONSUMER INDEX EXC. TRADED FUND","5,000.00"," 79,055.00 ","5,000.00"," 79,055.00 ","100.00 ","100.00 "
"ACPL","ATTOCK CEMENT PAKISTAN LIMITED","190,554.00"," 52,972,439.35 ","155,866.00"," 43,334,258.48 ","81.80 ","81.81 "
"ADAMS","ADAM SUGAR MILLS LIMITED","119,256.00"," 8,785,183.81 ","79,177.00"," 5,841,728.60 ","66.39 ","66.50 "
"ADMM","ARTISTIC DENIM MILLS LIMITED","46,045.00"," 3,100,108.03 ","38,864.00"," 2,615,227.39 ","84.40 ","84.36 "
"AGHA","AGHA STEEL INDUSTRIES LIMITED","201,077.00"," 1,763,870.71 ","165,975.00"," 1,455,729.59 ","82.54 ","82.53 "
"AGIC","ASKARI GENERAL INSURANCE COMPANY LTD","68,811.00"," 3,165,857.72 ","67,334.00"," 3,098,798.26 ","97.85 ","97.88 "
"AGIL","AGRIAUTO INDUSTRIES LIMITED","142,858.00"," 20,411,211.16 ","136,420.00"," 19,495,492.71 ","95.49 ","95.51 "
"AGL","AGRITECH LIMITED","594,605.00"," 34,527,993.71 ","384,439.00"," 22,326,541.87 ","64.65 ","64.66 "
"AGP","AGP LIMITED","261,124.00"," 50,530,207.40 ","232,232.00"," 45,008,876.82 ","88.94 ","89.07 "
"AGSML","ABDULLAH SHAH GHAZI SUGAR MILLS LIMITED","1,152,491.00"," 10,967,897.94 ","440,024.00"," 4,240,863.92 ","38.18 ","38.67 "
"AGTL","AL-GHAZI TRACTORS LIMITED","50,482.00"," 21,685,152.98 ","39,563.00"," 17,029,887.97 ","78.37 ","78.53 "
"AHCL","ARIF HABIB CORPORATION LIMITED","752,097.00"," 8,756,144.27 ","748,622.00"," 8,715,554.29 ","99.54 ","99.54 "
"AHL","ARIF HABIB LIMITED","32,978.00"," 2,640,339.23 ","32,325.00"," 2,588,023.35 ","98.02 ","98.02 "
"AHTM","AHMAD HASSAN TEXTILE MILLS LIMITED","11,244.00"," 1,073,929.13 ","6,817.00"," 649,745.20 ","60.63 ","60.50 "
"AICL","ADAMJEE INSURANCE COMPANY LIMITED","830,706.00"," 56,498,466.77 ","674,622.00"," 47,174,658.44 ","81.21 ","83.50 "
"AIRLINK","AIRLINK COMMUNICATION LIMITED","608,543.00"," 84,350,871.09 ","404,951.00"," 57,113,992.90 ","66.54 ","67.71 "
"AKBL","ASKARI BANK LIMITED","10,158,746.00"," 683,532,425.51 ","4,843,859.00"," 341,660,486.17 ","47.68 ","49.98 "
"AKDHL","AKD HOSPITALITY LIMITED","1,512.00"," 285,885.02 ","1,502.00"," 283,985.02 ","99.34 ","99.34 "
"AKDSL","AKD SECURITIES LIMITED","178,069.00"," 5,895,280.77 ","143,760.00"," 4,746,887.30 ","80.73 ","80.52 "
"AKGL","AL-KHAIR GADOON LIMITED","1,805.00"," 112,906.40 ","1,257.00"," 76,734.38 ","69.64 ","67.96 "
"ALAC","ASKARI LIFE ASSURANCE COMPANY LTD.","14,202,478.00"," 193,700,429.27 ","6,578,234.00"," 89,041,548.90 ","46.32 ","45.97 "
"ALIFE","ADAMJEE LIFE ASSURANCE COMPANY LIMITED","26,876.00"," 859,068.86 ","16,376.00"," 528,107.55 ","60.93 ","61.47 "
"ALNRS","AL-NOOR SUGAR MILLS LIMITED","17,797.00"," 1,796,185.13 ","15,266.00"," 1,540,587.62 ","85.78 ","85.77 "
"ALTN","ALTERN ENERGY LTD.","478,438.00"," 5,432,559.05 ","430,658.00"," 4,892,476.55 ","90.01 ","90.06 "
"AMBL","APNA MICROFINANCE BANK LIMITED","79,999.00"," 1,055,867.77 ","28,904.00"," 422,683.76 ","36.13 ","40.03 "
"AMTEX","AMTEX LIMITED","1,182,750.00"," 3,788,112.99 ","996,110.00"," 3,189,116.60 ","84.22 ","84.19 "
"ANL","AZGARD NINE LIMITED","1,555,583.00"," 18,056,308.68 ","1,200,226.00"," 13,962,631.51 ","77.16 ","77.33 "
"ANTM","AN TEXTILE MILLS LIMITED","2,246.00"," 53,658.56 ","1,866.00"," 44,825.76 ","83.08 ","83.54 "
"APL","ATTOCK PETROLEUM LIMITED","4,680.00"," 2,405,584.11 ","4,120.00"," 2,118,295.43 ","88.03 ","88.06 "
"ARCTM","ARCTIC TEXTILE MILLS LIMITED","5,947.00"," 245,596.15 ","5,032.00"," 210,148.25 ","84.61 ","85.57 "
"ARPAK","ARPAK INTERNATIONAL INVESTMENT LIMITED","100.00"," 6,200.00 ","100.00"," 6,200.00 ","100.00 ","100.00 "
"ARPL","ARCHROMA PAKISTAN LIMITED","1,969.00"," 837,961.66 ","1,859.00"," 790,731.66 ","94.41 ","94.36 "
"ARUJ","ARUJ INDUSTRIES LIMITED","97,251.00"," 1,004,527.71 ","84,751.00"," 875,458.51 ","87.15 ","87.15 "
"ASC","AL SHAHEER CORPORATION LIMITED","292,766.00"," 2,229,025.90 ","266,931.00"," 2,033,723.77 ","91.18 ","91.24 "
