"Symbol","Name","Trade Volume","Trade Value","UIN Settlement Volume ","UIN Settlement Value ","UIN Percentage Volume","UIN Percentage Value "
"ASL","AISHA STEEL MILLS LIMITED","1,495,220.00"," 16,207,597.55 ","1,102,718.00"," 11,970,070.72 ","73.75 ","73.85 "
"ASTL","AMRELI STEELS LIMITED","140,395.00"," 3,151,363.11 ","128,597.00"," 2,886,189.61 ","91.60 ","91.59 "
"ASTM","ASIM TEXTILE MILLS LIMITED","9,514.00"," 121,950.82 ","7,059.00"," 90,373.69 ","74.20 ","74.11 "
"ATBA","ATLAS BATTERY LIMITED","25,915.00"," 7,008,454.20 ","22,774.00"," 6,158,482.73 ","87.88 ","87.87 "
"ATLH","ATLAS HONDA LIMITED","8,750.00"," 8,906,679.16 ","7,569.00"," 7,703,662.27 ","86.50 ","86.49 "
"ATRL","ATTOCK REFINERY LIMITED","933,266.00"," 611,786,417.19 ","355,858.00"," 240,820,777.98 ","38.13 ","39.36 "
"AVN","AVANCEON LIMITED","1,233,620.00"," 59,468,014.33 ","881,752.00"," 42,986,006.92 ","71.48 ","72.28 "
"BAFL","BANK ALFALAH LIMITED","2,106,020.00"," 159,366,729.18 ","1,768,696.00"," 134,101,838.19 ","83.98 ","84.15 "
"BAHL","BANK AL HABIB LIMITED","314,076.00"," 44,738,618.14 ","203,695.00"," 31,137,502.08 ","64.86 ","69.60 "
"BAPL","BAWANY AIR PRODUCTS LIMITED","34,327.00"," 1,374,201.04 ","23,697.00"," 949,026.82 ","69.03 ","69.06 "
"BATA","BATA PAKISTAN LIMITED","225.00"," 337,277.71 ","225.00"," 337,277.71 ","100.00 ","100.00 "
"BBFL","BIG BIRD FOODS LIMITED","4,106,549.00"," 201,448,439.52 ","2,090,143.00"," 102,799,926.95 ","50.90 ","51.03 "
"BCL","BOLAN CASTINGS LIMITED","400,698.00"," 39,335,389.59 ","189,735.00"," 18,710,381.75 ","47.35 ","47.57 "
"BECO","BECO STEEL LIMITED","1,727,723.00"," 22,952,662.84 ","878,203.00"," 11,632,259.38 ","50.83 ","50.68 "
"BELA","BELA AUTOMOTIVES LIMITED","1,074.00"," 127,317.05 ","1,001.00"," 118,525.13 ","93.20 ","93.09 "
"BERG","BERGER PAINTS PAKISTAN LIMITED","264,978.00"," 28,332,558.86 ","194,636.00"," 20,819,721.58 ","73.45 ","73.48 "
"BFAGRO","BARKAT FRISIAN AGRO LIMITED","4,286,490.00"," 136,393,442.67 ","2,474,756.00"," 78,898,625.61 ","57.73 ","57.85 "
"BFBIO","BF BIOSCIENCES LIMITED","591,709.00"," 100,731,437.37 ","359,918.00"," 61,340,868.32 ","60.83 ","60.90 "
"BFMOD","B.F. MODARABA","163,009.00"," 1,938,953.18 ","94,307.00"," 1,123,926.98 ","57.85 ","57.97 "
"BGL","BALOCHISTAN GLASS LIMITED","573,884.00"," 6,495,342.98 ","442,449.00"," 5,011,142.25 ","77.10 ","77.15 "
"BHAT","BHANERO TEXTILE MILLS LIMITED","1,000.00"," 799,999.82 ","1,000.00"," 799,999.82 ","100.00 ","100.00 "
"BIFO","BIAFO INDUSTRIES LIMITED","15,068.00"," 2,618,131.13 ","13,601.00"," 2,365,546.73 ","90.26 ","90.35 "
"BILF","BILAL FIBRES LIMITED","906,316.00"," 16,510,414.51 ","489,249.00"," 9,066,519.82 ","53.98 ","54.91 "
"BIPL","BANKISLAMI PAKISTAN LIMITED","6,783,675.00"," 205,583,571.61 ","3,614,709.00"," 108,352,412.80 ","53.29 ","52.70 "
"BIPLSC2","BANKISLAMI EHAD SUKUK-II (21-02-2024)","1.00"," 4,986.84 ","1.00"," 4,986.84 ","100.00 ","100.00 "
"BML","BANK MAKRAMAH LIMITED","3,722,752.00"," 15,169,320.35 ","2,584,495.00"," 10,550,536.94 ","69.42 ","69.55 "
"BNL","BUNNY`S LIMITED","7,254,208.00"," 443,303,534.49 ","4,230,845.00"," 260,906,821.22 ","58.32 ","58.86 "
"BNWM","BANNU WOOLLEN MILLS LIMITED","561,717.00"," 36,087,160.56 ","355,152.00"," 22,935,650.14 ","63.23 ","63.56 "
"BOK","THE BANK OF KHYBER","50.00"," 815.07 ","50.00"," 815.07 ","100.00 ","100.00 "
"BOP","THE BANK OF PUNJAB","7,974,662.00"," 80,425,059.51 ","4,684,951.00"," 48,383,112.15 ","58.75 ","60.16 "
"BPL","BURSHANE LPG (PAKISTAN) LIMITED","20,000.00"," 609,700.00 ","-"," 100.00 ","- ","0.02 "
"BRRG","B.R.R. GUARDIAN LIMITED","1,869.00"," 48,367.82 ","1,869.00"," 48,367.82 ","100.00 ","100.00 "
"BTL","BLESSED TEXTILES LIMITED","10.00"," 2,731.00 ","10.00"," 2,731.00 ","100.00 ","100.00 "
"BUXL","BUXLY PAINTS LIMITED","32,215.00"," 6,098,439.87 ","16,762.00"," 3,180,735.89 ","52.03 ","52.16 "
"BWCL","BESTWAY CEMENT  LIMITED","4,162.00"," 1,674,750.83 ","3,759.00"," 1,512,824.10 ","90.32 ","90.33 "
