"Symbol","Name","Trade Volume","Trade Value","UIN Settlement Volume ","UIN Settlement Value ","UIN Percentage Volume","UIN Percentage Value "
"786","786 INVESTMENT LIMITED","7,342.00"," 65,409.04 ","7,317.00"," 65,199.37 ","99.66 ","99.68 "
"AABS","AL-ABBAS SUGAR MILLS LIMITED","561.00"," 499,301.08 ","542.00"," 482,797.93 ","96.61 ","96.69 "
"AATM","ALI ASGHAR TEXTILE MILLS LIMITED","12,009.00"," 604,653.15 ","12,009.00"," 604,653.15 ","100.00 ","100.00 "
"ABL","ALLIED BANK LIMITED","47,420.00"," 6,093,175.97 ","42,163.00"," 5,419,544.53 ","88.91 ","88.94 "
"ABOT","ABBOTT LABORATORIES (PAKISTAN) LIMITED","6,608.00"," 6,261,188.15 ","5,986.00"," 5,668,850.73 ","90.59 ","90.54 "
"ACIETF","ALFALAH CONSUMER INDEX EXC. TRADED FUND","4,500.00"," 69,920.00 ","3,000.00"," 46,380.00 ","66.67 ","66.33 "
"ACPL","ATTOCK CEMENT PAKISTAN LIMITED","609,901.00"," 191,619,715.11 ","386,904.00"," 121,960,845.78 ","63.44 ","63.65 "
"ADAMS","ADAM SUGAR MILLS LIMITED","43,388.00"," 2,805,184.17 ","37,364.00"," 2,426,855.44 ","86.12 ","86.51 "
"ADMM","ARTISTIC DENIM MILLS LIMITED","153,375.00"," 7,207,698.24 ","141,728.00"," 6,663,421.44 ","92.41 ","92.45 "
"AGHA","AGHA STEEL INDUSTRIES LIMITED","523,630.00"," 4,495,909.70 ","500,035.00"," 4,293,405.18 ","95.49 ","95.50 "
"AGIC","ASKARI GENERAL INSURANCE COMPANY LTD","6,952.00"," 220,211.84 ","6,451.00"," 204,209.96 ","92.79 ","92.73 "
"AGIL","AGRIAUTO INDUSTRIES LIMITED","349,497.00"," 41,539,044.75 ","158,722.00"," 19,055,062.96 ","45.41 ","45.87 "
"AGL","AGRITECH LIMITED","345,529.00"," 18,536,590.04 ","283,572.00"," 15,217,201.06 ","82.07 ","82.09 "
"AGP","AGP LIMITED","130,541.00"," 23,931,373.88 ","107,846.00"," 19,768,298.10 ","82.61 ","82.60 "
"AGSML","ABDULLAH SHAH GHAZI SUGAR MILLS LIMITED","21,177.00"," 124,273.59 ","20,651.00"," 121,165.86 ","97.52 ","97.50 "
"AGTL","AL-GHAZI TRACTORS LIMITED","43,433.00"," 18,674,693.58 ","25,562.00"," 10,976,080.96 ","58.85 ","58.78 "
"AHCL","ARIF HABIB CORPORATION LIMITED","260,680.00"," 2,737,274.60 ","257,345.00"," 2,702,343.34 ","98.72 ","98.72 "
"AHL","ARIF HABIB LIMITED","25,243.00"," 1,847,803.12 ","24,943.00"," 1,825,901.12 ","98.81 ","98.81 "
"AICL","ADAMJEE INSURANCE COMPANY LIMITED","746,853.00"," 34,091,237.86 ","615,788.00"," 28,880,905.83 ","82.45 ","84.72 "
"AIRLINK","AIRLINK COMMUNICATION LIMITED","545,220.00"," 83,831,608.83 ","401,129.00"," 62,209,329.19 ","73.57 ","74.21 "
"AKBL","ASKARI BANK LIMITED","2,294,831.00"," 104,384,321.71 ","1,106,442.00"," 52,713,440.24 ","48.21 ","50.50 "
"AKDHL","AKD HOSPITALITY LIMITED","7,991.00"," 1,374,445.85 ","6,728.00"," 1,153,684.41 ","84.19 ","83.94 "
"AKDSL","AKD SECURITIES LIMITED","1,455,423.00"," 35,787,387.33 ","1,146,757.00"," 28,083,065.37 ","78.79 ","78.47 "
"AKGL","AL-KHAIR GADOON LIMITED","162.00"," 7,467.78 ","162.00"," 7,467.78 ","100.00 ","100.00 "
"ALAC","ASKARI LIFE ASSURANCE COMPANY LTD.","126,470.00"," 1,028,412.37 ","125,970.00"," 1,024,212.37 ","99.60 ","99.59 "
"ALIFE","ADAMJEE LIFE ASSURANCE COMPANY LIMITED","3,867.00"," 100,503.14 ","3,865.00"," 100,452.78 ","99.95 ","99.95 "
"ALNRS","AL-NOOR SUGAR MILLS LIMITED","12.00"," 990.00 ","12.00"," 990.00 ","100.00 ","100.00 "
"ALTN","ALTERN ENERGY LTD.","334,507.00"," 3,907,621.69 ","318,705.00"," 3,722,730.14 ","95.28 ","95.27 "
"AMBL","APNA MICROFINANCE BANK LIMITED","54.00"," 568.75 ","54.00"," 568.75 ","100.00 ","100.00 "
"AMTEX","AMTEX LIMITED","1,148,031.00"," 3,522,786.44 ","718,209.00"," 2,216,655.47 ","62.56 ","62.92 "
