"Symbol","Name","Trade Volume","Trade Value","UIN Settlement Volume ","UIN Settlement Value ","UIN Percentage Volume","UIN Percentage Value "
"WTL","WORLDCALL TELECOM LIMITED","19,662,660.00"," 27,218,914.47 ","14,191,692.00"," 19,648,665.74 ","72.18 ","72.19 "
"YOUW","YOUSAF WEAVING MILLS LIMITED","376,465.00"," 1,461,244.19 ","255,018.00"," 989,414.59 ","67.74 ","67.71 "
"ZAHID","ZAHIDJEE TEXTILE MILLS LIMITED","2,333.00"," 67,338.75 ","2,333.00"," 67,338.75 ","100.00 ","100.00 "
"ZAL","ZAREA LIMITED","494,225.00"," 7,927,889.76 ","447,061.00"," 7,174,298.22 ","90.46 ","90.49 "
"ZIL","ZIL LIMITED","555.00"," 167,361.86 ","542.00"," 163,545.41 ","97.66 ","97.72 "
"ZTL","ZEPHYR TEXTILES LIMITED","500.00"," 5,800.00 ","500.00"," 5,800.00 ","100.00 ","100.00 "
"CHAS","CHASHMA SUGAR MILLS LIMITED","1,051.00"," 68,506.09 ","1,051.00"," 68,506.09 ","100.00 ","100.00 "
"CHBL","CHENAB LIMITED","33,813.00"," 211,685.32 ","23,763.00"," 149,463.82 ","70.28 ","70.61 "
"CHCC","CHERAT CEMENT COMPANY LIMITED","137,723.00"," 36,198,953.53 ","117,999.00"," 31,318,804.25 ","85.68 ","86.52 "
"CJPL","CRESCENT JUTE PRODUCTS LIMITED","597,972.00"," 2,539,092.43 ","516,433.00"," 2,192,139.69 ","86.36 ","86.34 "
"CLCPS","CHENAB LTD-NON VOTING CUM. PREF. SHARES","138,018.00"," 341,782.54 ","117,006.00"," 290,131.81 ","84.78 ","84.89 "
"CLOV","CLOVER PAKISTAN LIMITED","235,683.00"," 9,918,424.75 ","203,132.00"," 8,545,579.81 ","86.19 ","86.16 "
"CLVL","CORDOBA LOGISTICS & VENTURES LIMITED","108,483.00"," 1,986,431.18 ","100,092.00"," 1,834,246.64 ","92.27 ","92.34 "
"CNERGY","CNERGYICO PK LIMITED","4,553,486.00"," 31,438,112.50 ","2,238,054.00"," 16,737,079.95 ","49.15 ","53.24 "
"COLG","COLGATE PALMOLIVE (PAKISTAN) LIMITED","3,092.00"," 4,086,079.06 ","2,162.00"," 2,859,519.91 ","69.92 ","69.98 "
"CPHL","CITI PHARMA LIMITED","1,147,380.00"," 98,713,173.73 ","597,850.00"," 51,430,145.51 ","52.11 ","52.10 "
"CPPL","CHERAT PACKAGING LIMITED","370,900.00"," 43,014,431.10 ","326,081.00"," 37,812,804.59 ","87.92 ","87.91 "
"CRTM","THE CRESCENT TEXTILE MILLS LIMITED","25,509.00"," 383,401.30 ","23,498.00"," 353,235.25 ","92.12 ","92.13 "
"CSAP","CRESCENT STEEL AND ALLIED PRODUCTS LTD.","343,140.00"," 41,602,207.32 ","204,344.00"," 24,816,117.59 ","59.55 ","59.65 "
"CSIL","CRESCENT STAR INSURANCE LIMITED","1,001,093.00"," 3,028,984.22 ","696,290.00"," 2,110,085.29 ","69.55 ","69.66 "
"CTM","COLONY TEXTILE MILLS LIMITED","165,563.00"," 717,405.86 ","148,068.00"," 643,160.24 ","89.43 ","89.65 "
"CWSM","CHAKWAL SPINNING MILLS LIMITED","135,563.00"," 5,835,007.11 ","110,664.00"," 4,762,733.01 ","81.63 ","81.62 "
