"Symbol","Name","Trade Volume","Trade Value","UIN Settlement Volume ","UIN Settlement Value ","UIN Percentage Volume","UIN Percentage Value "
"CCM","CRESCENT COTTON MILLS LIMITED","399.00"," 22,543.91 ","399.00"," 22,543.91 ","100.00 ","100.00 "
"CENI","CENTURY INSURANCE COMPANY LIMITED","209.00"," 10,110.94 ","142.00"," 6,927.10 ","67.94 ","68.51 "
"CEPB","CENTURY PAPER AND BOARD MILLS LIMITED","2,197,088.00"," 55,434,565.37 ","2,009,667.00"," 50,695,692.19 ","91.47 ","91.45 "
"CFL","CRESCENT FIBRES LIMITED","217.00"," 13,901.59 ","216.00"," 13,837.09 ","99.54 ","99.54 "
"CHAS","CHASHMA SUGAR MILLS LIMITED","6,672.00"," 460,543.61 ","4,664.00"," 319,292.83 ","69.90 ","69.33 "
"CHBL","CHENAB LIMITED","9,310.00"," 200,331.94 ","9,219.00"," 198,285.36 ","99.02 ","98.98 "
"CHCC","CHERAT CEMENT COMPANY LIMITED","206,124.00"," 68,049,075.40 ","163,256.00"," 54,511,120.79 ","79.20 ","80.11 "
"CJPL","CRESCENT JUTE PRODUCTS LIMITED","548,625.00"," 7,387,700.96 ","391,556.00"," 5,280,477.95 ","71.37 ","71.48 "
"CLCPS","CHENAB LTD-NON VOTING CUM. PREF. SHARES","84,120.00"," 332,080.34 ","80,962.00"," 319,529.74 ","96.25 ","96.22 "
"CLOV","CLOVER PAKISTAN LIMITED","171,474.00"," 7,064,176.27 ","144,599.00"," 5,953,015.75 ","84.33 ","84.27 "
"CLVL","CORDOBA LOGISTICS & VENTURES LIMITED","11,668.00"," 187,910.60 ","7,360.00"," 117,971.60 ","63.08 ","62.78 "
"CNERGY","CNERGYICO PK LIMITED","51,572,692.00"," 404,560,222.78 ","27,844,609.00"," 222,748,547.70 ","53.99 ","55.06 "
"COLG","COLGATE PALMOLIVE (PAKISTAN) LIMITED","18,086.00"," 23,185,720.25 ","16,083.00"," 20,616,348.95 ","88.93 ","88.92 "
"CPHL","CITI PHARMA LIMITED","1,963,947.00"," 169,269,043.97 ","1,321,194.00"," 115,684,554.18 ","67.27 ","68.34 "
"CPPL","CHERAT PACKAGING LIMITED","137,353.00"," 14,362,112.27 ","110,963.00"," 11,601,004.98 ","80.79 ","80.78 "
"CRTM","THE CRESCENT TEXTILE MILLS LIMITED","687,940.00"," 16,220,135.72 ","528,647.00"," 12,462,999.87 ","76.84 ","76.84 "
"CSAP","CRESCENT STEEL AND ALLIED PRODUCTS LTD.","806,024.00"," 78,378,595.27 ","705,155.00"," 68,604,415.15 ","87.49 ","87.53 "
"CSIL","CRESCENT STAR INSURANCE LIMITED","2,757,718.00"," 17,439,991.89 ","1,880,028.00"," 11,881,428.90 ","68.17 ","68.13 "
"CTM","COLONY TEXTILE MILLS LIMITED","924,733.00"," 5,473,657.26 ","697,706.00"," 4,133,985.56 ","75.45 ","75.53 "
"CWSM","CHAKWAL SPINNING MILLS LIMITED","529,670.00"," 15,889,066.28 ","309,282.00"," 9,259,013.05 ","58.39 ","58.27 "
"CYAN","CYAN LIMITED","106,414.00"," 3,824,191.74 ","104,383.00"," 3,750,719.22 ","98.09 ","98.08 "
"DAAG","DATA AGRO LIMITED","6,234.00"," 631,284.68 ","5,800.00"," 587,884.59 ","93.04 ","93.13 "
"DADX","DADEX ETERNIT LIMITED","1,800.00"," 113,841.00 ","1,800.00"," 113,841.00 ","100.00 ","100.00 "
"DBCI","DADABHOY CEMENT INDUSTRIES LIMITED","93,831.00"," 641,463.65 ","87,536.00"," 598,324.37 ","93.29 ","93.27 "
"DCL","DEWAN CEMENT LIMITED","7,830,513.00"," 109,266,024.01 ","4,359,433.00"," 61,364,789.27 ","55.67 ","56.16 "
"DCR","DOLMEN CITY REIT","1,470,743.00"," 46,130,144.29 ","1,358,206.00"," 42,602,096.63 ","92.35 ","92.35 "
"DEL","DAWOOD EQUITIES LIMITED","52,856.00"," 714,568.30 ","36,176.00"," 486,583.66 ","68.44 ","68.09 "
"DFML","DEWAN FAROOQUE MOTORS LIMITED","1,667,419.00"," 48,597,065.04 ","1,122,164.00"," 32,762,607.22 ","67.30 ","67.42 "
"DFSM","DEWAN FAROOQUE SPINNING MILLS LIMITED","367,236.00"," 2,166,196.05 ","342,881.00"," 2,020,252.30 ","93.37 ","93.26 "
"DGKC","D.G. KHAN CEMENT COMPANY LIMITED","11,680,925.00"," 2,712,121,410.48 ","5,324,944.00"," 1,262,947,009.93 ","45.59 ","46.57 "
"DHPL","DH PARTNERS LIMITED","257,307.00"," 10,978,962.90 ","240,191.00"," 10,256,721.88 ","93.35 ","93.42 "
"DIIL","DIAMOND INDUSTRIES LIMITED","109.00"," 5,655.88 ","103.00"," 5,347.00 ","94.50 ","94.54 "
"DINT","DIN TEXTILE MILLS LIMITED","576.00"," 43,913.81 ","576.00"," 43,913.81 ","100.00 ","100.00 "
"DLL","DAWOOD LAWRENCEPUR LIMITED","3,532.00"," 1,132,831.49 ","2,977.00"," 955,142.94 ","84.29 ","84.31 "
"DMC","D.M. CORPORATION LIMITED","1,706.00"," 443,936.12 ","1,567.00"," 407,793.46 ","91.85 ","91.86 "
