"Symbol","Name","Trade Volume","Trade Value","UIN Settlement Volume ","UIN Settlement Value ","UIN Percentage Volume","UIN Percentage Value "
"FANM","FIRST AL-NOOR MODARABA","157,097.00"," 1,364,499.22 ","104,696.00"," 909,765.10 ","66.64 ","66.67 "
"FASM","FAISAL SPINNING MILLS LIMITED","235.00"," 75,635.90 ","229.00"," 73,645.12 ","97.45 ","97.37 "
"FATIMA","FATIMA FERTILIZER COMPANY LIMITED","8,455,738.00"," 1,166,510,277.41 ","6,532,897.00"," 905,817,508.30 ","77.26 ","77.65 "
"FCCL","FAUJI CEMENT COMPANY LIMITED","10,922,193.00"," 645,822,742.53 ","6,216,122.00"," 382,368,430.25 ","56.91 ","59.21 "
"FCEL","FIRST CAPITAL EQUITIES LIMITED","659,928.00"," 4,080,529.20 ","540,143.00"," 3,346,361.24 ","81.85 ","82.01 "
"FCEPL","FRIESLANDCAMPINA ENGRO PAKISTAN LIMITED","558,237.00"," 49,737,067.29 ","479,034.00"," 42,722,632.28 ","85.81 ","85.90 "
"FCIBL","FIRST CREDIT AND INVESTMENT BANK LIMITED","2,697.00"," 35,492.52 ","2,697.00"," 35,492.52 ","100.00 ","100.00 "
"FCL","FAST CABLES LIMITED","1,167,478.00"," 28,656,063.83 ","995,422.00"," 24,438,366.52 ","85.26 ","85.28 "
"FCSC","FIRST CAPITAL SECURITIES CORPORATION LTD","3,251,905.00"," 12,753,225.46 ","2,513,735.00"," 9,849,429.33 ","77.30 ","77.23 "
"FDPL","FIRST DAWOOD PROPERTIES LIMITED","925,341.00"," 6,231,820.05 ","911,531.00"," 6,138,573.99 ","98.51 ","98.50 "
"FECM","FIRST ELITE CAPITAL MODARABA","8,138.00"," 235,707.18 ","7,808.00"," 226,412.93 ","95.94 ","96.06 "
"FECTC","FECTO CEMENT LIMITED","100,252.00"," 10,918,294.87 ","79,347.00"," 8,650,279.26 ","79.15 ","79.23 "
"FEM","FIRST EQUITY MODARABA","1,319,468.00"," 11,793,924.90 ","1,205,818.00"," 10,767,997.90 ","91.39 ","91.30 "
"FEROZ","FEROZSONS LABORATORIES LIMITED","43,240.00"," 17,249,729.76 ","41,517.00"," 16,566,687.47 ","96.02 ","96.04 "
"FFC","FAUJI FERTILIZER COMPANY LIMITED","2,790,634.00"," 1,253,668,453.75 ","1,743,842.00"," 793,603,936.99 ","62.49 ","63.30 "
"FFL","FAUJI FOODS LIMITED","17,973,934.00"," 387,413,930.58 ","10,702,956.00"," 235,623,959.64 ","59.55 ","60.82 "
"FFLM","FIRST FIDELITY LEASING MODARABA","51,657.00"," 369,697.92 ","29,966.00"," 218,279.77 ","58.01 ","59.04 "
"FHAM","FIRST HABIB MODARABA","204,472.00"," 6,752,364.91 ","161,468.00"," 5,344,167.05 ","78.97 ","79.15 "
"FIBLM","FIRST IBL MODARABA","101,277.00"," 1,134,954.90 ","74,653.00"," 838,382.50 ","73.71 ","73.87 "
"FIL","FATEH INDUSTRIES LIMITED","157.00"," 31,285.00 ","155.00"," 30,845.00 ","98.73 ","98.59 "
"FIMM","FIRST IMROOZ MODARABA","128.00"," 41,975.53 ","122.00"," 39,927.99 ","95.31 ","95.12 "
"FLYNG","FLYING CEMENT COMPANY LIMITED","140,243.00"," 6,744,827.15 ","96,711.00"," 4,830,645.24 ","68.96 ","71.62 "
"FML","FEROZE1888 MILLS LIMITED","19,570.00"," 1,489,339.61 ","19,570.00"," 1,489,339.61 ","100.00 ","100.00 "
"FNEL","FIRST NATIONAL EQUITIES LIMITED","3,451,426.00"," 26,274,827.25 ","2,865,852.00"," 21,831,572.88 ","83.03 ","83.09 "
"FPJM","FIRST PUNJAB MODARABA","666,379.00"," 4,185,270.36 ","463,188.00"," 2,925,150.35 ","69.51 ","69.89 "
"FPRM","FIRST PARAMOUNT MODARABA","14,904.00"," 176,617.85 ","14,190.00"," 168,545.70 ","95.21 ","95.43 "
"FRCL","FRONTIER CERAMICS LIMITED","1,672.00"," 72,307.98 ","1,522.00"," 65,988.48 ","91.03 ","91.26 "
"FRSM","FARAN SUGAR MILLS LIMITED","45,841.00"," 2,490,468.17 ","43,052.00"," 2,337,417.67 ","93.92 ","93.85 "
"FSWL","FATEH SPORTS WEAR LIMITED","2,293.00"," 276,261.03 ","1,987.00"," 239,281.38 ","86.66 ","86.61 "
"FTMM","FIRST TREET MANUFACTURING MODARABA","33,413.00"," 632,434.51 ","28,191.00"," 532,877.71 ","84.37 ","84.26 "
"FTSM","FIRST TRI-STAR MODARABA","1,529.00"," 24,218.40 ","1,522.00"," 24,113.25 ","99.54 ","99.57 "
"FZCM","FAZAL CLOTH MILLS LIMITED","15,161.00"," 4,254,847.79 ","13,333.00"," 3,746,651.07 ","87.94 ","88.06 "
"GADT","GADOON TEXTILE MILLS LIMITED","13,463.00"," 5,327,272.69 ","12,261.00"," 4,870,296.20 ","91.07 ","91.42 "
"GAL","GHANDHARA AUTOMOBILES LIMITED","555,128.00"," 327,449,194.49 ","354,172.00"," 209,126,283.08 ","63.80 ","63.87 "
