"Symbol","Name","Trade Volume","Trade Value","UIN Settlement Volume ","UIN Settlement Value ","UIN Percentage Volume","UIN Percentage Value "
"786","786 INVESTMENT LIMITED","45,110.00"," 587,098.62 ","40,040.00"," 521,998.54 ","88.76 ","88.91 "
"AABS","AL-ABBAS SUGAR MILLS LIMITED","48.00"," 50,296.20 ","41.00"," 43,059.98 ","85.42 ","85.61 "
"AATM","ALI ASGHAR TEXTILE MILLS LIMITED","2,985.00"," 146,926.85 ","2,984.00"," 146,876.86 ","99.97 ","99.97 "
"ABL","ALLIED BANK LIMITED","749,167.00"," 149,284,040.15 ","529,331.00"," 105,684,116.99 ","70.66 ","70.79 "
"ABOT","ABBOTT LABORATORIES (PAKISTAN) LIMITED","12,986.00"," 16,319,445.03 ","12,916.00"," 16,231,185.76 ","99.46 ","99.46 "
"ACIETF","ALFALAH CONSUMER INDEX EXC. TRADED FUND","30,000.00"," 575,415.00 ","30,000.00"," 575,415.00 ","100.00 ","100.00 "
"ACPL","ATTOCK CEMENT PAKISTAN LIMITED","395,640.00"," 121,167,556.63 ","238,352.00"," 73,096,418.61 ","60.24 ","60.33 "
"ADAMS","ADAM SUGAR MILLS LIMITED","106.00"," 7,727.21 ","97.00"," 7,076.08 ","91.51 ","91.57 "
"ADMM","ARTISTIC DENIM MILLS LIMITED","29,743.00"," 1,499,946.73 ","22,729.00"," 1,146,130.76 ","76.42 ","76.41 "
"AGHA","AGHA STEEL INDUSTRIES LIMITED","956,798.00"," 8,943,218.60 ","773,993.00"," 7,235,445.52 ","80.89 ","80.90 "
"AGIC","ASKARI GENERAL INSURANCE COMPANY LTD","12,830.00"," 577,479.35 ","10,205.00"," 459,986.35 ","79.54 ","79.65 "
"AGIL","AGRIAUTO INDUSTRIES LIMITED","1,888.00"," 268,809.41 ","1,866.00"," 265,662.46 ","98.83 ","98.83 "
"AGL","AGRITECH LIMITED","1,690,815.00"," 130,540,556.93 ","1,286,013.00"," 99,873,343.62 ","76.06 ","76.51 "
"AGP","AGP LIMITED","50,607.00"," 9,792,999.84 ","49,555.00"," 9,590,037.06 ","97.92 ","97.93 "
"AGSML","ABDULLAH SHAH GHAZI SUGAR MILLS LIMITED","360,919.00"," 3,200,162.69 ","324,461.00"," 2,882,801.00 ","89.90 ","90.08 "
"AGTL","AL-GHAZI TRACTORS LIMITED","39,437.00"," 15,971,190.23 ","32,278.00"," 13,067,844.64 ","81.85 ","81.82 "
"AHCL","ARIF HABIB CORPORATION LIMITED","26,486,390.00"," 454,176,264.70 ","19,542,542.00"," 335,569,292.53 ","73.78 ","73.89 "
"AHL","ARIF HABIB LIMITED","169,387.00"," 23,624,824.00 ","143,647.00"," 20,049,818.73 ","84.80 ","84.87 "
"AHTM","AHMAD HASSAN TEXTILE MILLS LIMITED","20,587.00"," 1,942,548.37 ","7,099.00"," 678,426.14 ","34.48 ","34.92 "
"AICL","ADAMJEE INSURANCE COMPANY LIMITED","1,004,622.00"," 83,815,797.39 ","566,707.00"," 50,149,929.95 ","56.41 ","59.83 "
"AIRLINK","AIRLINK COMMUNICATION LIMITED","2,234,087.00"," 354,848,716.62 ","1,315,077.00"," 215,745,350.34 ","58.86 ","60.80 "
"AKBL","ASKARI BANK LIMITED","6,441,251.00"," 566,149,533.53 ","3,083,696.00"," 288,839,771.37 ","47.87 ","51.02 "
"AKDHL","AKD HOSPITALITY LIMITED","2,409.00"," 399,519.42 ","2,280.00"," 377,616.39 ","94.65 ","94.52 "
"AKDSL","AKD SECURITIES LIMITED","1,233,521.00"," 47,222,687.89 ","908,170.00"," 34,797,636.57 ","73.62 ","73.69 "
"ALAC","ASKARI LIFE ASSURANCE COMPANY LTD.","879,131.00"," 11,857,517.07 ","724,771.00"," 9,779,542.22 ","82.44 ","82.48 "
"ALIFE","ADAMJEE LIFE ASSURANCE COMPANY LIMITED","175.00"," 6,280.90 ","175.00"," 6,280.90 ","100.00 ","100.00 "
"ALNRS","AL-NOOR SUGAR MILLS LIMITED","475,424.00"," 43,278,454.02 ","473,801.00"," 43,122,730.39 ","99.66 ","99.64 "
"ALTN","ALTERN ENERGY LTD.","280,569.00"," 3,606,463.28 ","253,895.00"," 3,265,929.07 ","90.49 ","90.56 "
"AMBL","APNA MICROFINANCE BANK LIMITED","350.00"," 3,838.90 ","350.00"," 3,838.90 ","100.00 ","100.00 "
"AMTEX","AMTEX LIMITED","1,060,487.00"," 4,320,045.83 ","928,105.00"," 3,780,415.55 ","87.52 ","87.51 "
"ANL","AZGARD NINE LIMITED","1,390,307.00"," 17,338,455.10 ","1,142,885.00"," 14,265,091.85 ","82.20 ","82.27 "
"ANSM","ANSARI SUGAR MILLS LIMITED","32,254.00"," 502,568.83 ","29,065.00"," 454,371.16 ","90.11 ","90.41 "
"ANTM","AN TEXTILE MILLS LIMITED","15,060.00"," 405,574.70 ","13,889.00"," 372,666.50 ","92.22 ","91.89 "
"APL","ATTOCK PETROLEUM LIMITED","6,619,338.00"," 3,635,958,901.24 ","5,124,888.00"," 2,804,991,628.30 ","77.42 ","77.15 "
"ARPL","ARCHROMA PAKISTAN LIMITED","6,137.00"," 2,847,562.29 ","5,827.00"," 2,702,845.30 ","94.95 ","94.92 "
"ARUJ","ARUJ INDUSTRIES LIMITED","33,534.00"," 355,291.84 ","32,023.00"," 339,513.64 ","95.49 ","95.56 "
"ASC","AL SHAHEER CORPORATION LIMITED","8,200,198.00"," 117,640,805.17 ","5,460,423.00"," 78,200,004.36 ","66.59 ","66.47 "
"ASHT","ASHFAQ TEXTILE MILLS LIMITED","280.00"," 6,463.73 ","263.00"," 6,054.03 ","93.93 ","93.66 "
