"Symbol","Name","Trade Volume","Trade Value","UIN Settlement Volume ","UIN Settlement Value ","UIN Percentage Volume","UIN Percentage Value "
"SSML","SARITOW SPINNING MILLS LIMITED","11,693.00"," 168,002.84 ","9,035.00"," 129,977.45 ","77.27 ","77.37 "
"SSOM","S. S. OIL MILLS LIMITED","47,408.00"," 25,157,177.64 ","32,326.00"," 16,960,138.39 ","68.19 ","67.42 "
"STCL","SHABBIR TILES AND CERAMICS LIMITED","303,810.00"," 5,462,475.11 ","288,028.00"," 5,181,304.98 ","94.81 ","94.85 "
"STJT","SHAHTAJ TEXTILE LIMITED","544.00"," 41,194.91 ","362.00"," 28,071.09 ","66.54 ","68.14 "
"STL","SUPERNET TECHNOLOGIES LIMITED","5,341.00"," 4,637,934.97 ","4,795.00"," 4,163,261.58 ","89.78 ","89.77 "
"STML","SHAMS TEXTILE MILLS LIMITED","1.00"," 38.00 ","1.00"," 38.00 ","100.00 ","100.00 "
"STPL","SIDDIQSONS TIN PLATE LIMITED","3,305,789.00"," 27,269,852.81 ","2,713,718.00"," 22,397,975.53 ","82.09 ","82.13 "
"STYLERS","STYLERS INTERNATIONAL LIMITED","31,414.00"," 1,505,489.79 ","31,104.00"," 1,490,842.51 ","99.01 ","99.03 "
"SUHJ","SUHAIL JUTE MILLS LIMITED","202.00"," 22,237.58 ","202.00"," 22,237.58 ","100.00 ","100.00 "
"SURC","SURAJ COTTON MILLS LIMITED","39,122.00"," 5,353,529.20 ","20,723.00"," 2,836,149.23 ","52.97 ","52.98 "
"SUTM","SUNRAYS TEXTILE MILLS LIMITED","1,165.00"," 204,064.36 ","963.00"," 168,707.70 ","82.66 ","82.67 "
"SYM","SYMMETRY GROUP LIMITED","6,810,645.00"," 105,738,390.24 ","4,671,413.00"," 72,724,940.56 ","68.59 ","68.78 "
"SYS","SYSTEMS LIMITED","16,382,970.00"," 2,274,985,631.66 ","7,443,468.00"," 1,057,239,419.17 ","45.43 ","46.47 "
