Symbol,Name,Trade Volume,Trade Value,UIN Settlement Volume ,UIN Settlement Value ,UIN Percentage Volume,UIN Percentage Value 
RUPL,RUPALI POLYESTER LIMITED,"22,482.00","861,921.52","22,453.00","860,845.62",99.87,99.88
SAIF,SAIF TEXTILE MILLS LIMITED,"9,126.00","276,827.98","8,277.00","250,743.63",90.7,90.58
SANSM,SANGHAR SUGAR MILLS LIMITED,"8,928.00","552,964.93","8,916.00","552,221.06",99.87,99.87
SAPT,SAPPHIRE TEXTILE MILLS LIMITED,84,"117,529.11",84,"117,529.11",100,100
SARC,SARDAR CHEMICAL INDUSTRIES LIMITED,"10,821.00","725,953.98","10,816.00","725,612.08",99.95,99.95
SASML,SINDH ABADGARS SUGAR MILLS LIMITED,430,"86,075.53",425,"85,118.94",98.84,98.89
SAZEW,SAZGAR ENGINEERING WORKS LIMITED,"245,167.00","422,271,175.73","113,934.00","198,229,827.12",46.47,46.94
SBL,SAMBA BANK LIMITED,"80,236.00","801,567.03","80,190.00","801,115.58",99.94,99.94
SCBPL,STANDARD CHARTERED BANK (PAKISTAN) LTD.,"85,351.00","6,036,554.31","78,465.00","5,549,936.17",91.93,91.94
SCL,SHIELD CORPORATION LIMITED,"4,419.00","1,832,352.96","4,140.00","1,721,833.65",93.69,93.97
SEARL,THE SEARLE COMPANY LIMITED,"4,913,762.00","550,045,893.39","2,040,829.00","246,021,930.38",41.53,44.73
SEL,SITARA ENERGY LIMITED,"65,086.00","1,183,917.08","60,325.00","1,097,321.95",92.69,92.69
SEPL,SECURITY PAPERS LIMITED,"36,747.00","7,548,947.78","34,289.00","7,042,818.88",93.31,93.3
SERT,SERVICE INDUSTRIES TEXTILES LIMITED,"151,072.00","3,675,695.90","149,147.00","3,631,923.65",98.73,98.81
SFL,SAPPHIRE FIBRES LIMITED,88,"93,729.91",85,"90,587.91",96.59,96.65
SGF,SERVICE GLOBAL FOOTWEAR LIMITED,"920,438.00","93,138,137.22","484,863.00","49,171,315.49",52.68,52.79
SGPL,S.G. POWER LIMITED,"1,221,463.00","13,165,751.14","755,752.00","8,138,817.66",61.87,61.82
SHCM,SHADMAN COTTON MILLS LIMITED,"5,552.00","273,098.16","4,126.00","203,540.52",74.32,74.53
SHDT,SHADAB TEXTILE MILLS LIMITED,"18,594.00","1,086,844.27","18,488.00","1,080,592.39",99.43,99.42
SHEZ,SHEZAN INTERNATIONAL LIMITED,"10,342.00","2,188,773.70","8,896.00","1,882,343.74",86.02,86
SHFA,SHIFA INTERNATIONAL HOSPITALS LTD.,"40,663.00","21,652,279.09","37,865.00","20,161,311.13",93.12,93.11
SHNI,SHAHEEN INSURANCE COMPANY LIMITED,"109,306.00","1,034,048.94","107,704.00","1,018,820.56",98.53,98.53
SHSML,SHAHMURAD SUGAR MILLS LIMITED,"2,005.00","1,000,497.06","2,005.00","1,000,497.06",100,100
SIBL,SECURITY INVESTMENT BANK LIMITED,"84,113.00","949,024.58","69,818.00","788,598.39",83.01,83.1
SIEM,SIEMENS PAKISTAN COMPANY ENGINEERING LTD,5,"8,545.95",5,"8,545.95",100,100
SINDM,SINDH MODARABA,"97,889.00","1,838,185.37","73,592.00","1,381,726.22",75.18,75.17
SITC,SITARA CHEMICAL INDUSTRIES LIMITED,"30,819.00","29,389,033.37","23,807.00","22,748,731.11",77.25,77.41
SKRS,SAKRAND SUGAR MILLS LIMITED,"505,253.00","10,930,528.76","372,760.00","8,102,383.70",73.78,74.13
SLGL,SECURE LOGISTICS-TRAX GROUP LIMITED,"50,660,286.00","1,094,137,488.21","34,017,591.00","725,729,601.18",67.15,66.33
SLYT,SALLY TEXTILE MILLS LIMITED,"12,659.00","197,336.12","11,893.00","185,863.96",93.95,94.19
SMCPL,SAFE MIX CONCRETE LIMITED,"156,964.00","5,934,815.92","148,362.00","5,609,296.46",94.52,94.52
SML,SHAKARGANJ LIMITED,"4,409.00","293,428.52",409,"33,148.52",9.28,11.3
SNAI,SANA INDUSTRIES LIMITED,"4,336.00","117,515.96","4,336.00","117,515.96",100,100
SNBL,SONERI BANK LIMITED,"1,072,337.00","24,706,837.95","986,755.00","22,736,154.55",92.02,92.02
SNGP,SUI NORTHERN GAS PIPELINES LIMITED,"6,678,245.00","878,612,493.02","2,567,108.00","351,101,959.43",38.44,39.96
SPEL,SPEL LIMITED,"7,480,715.00","554,072,058.61","1,809,054.00","130,729,061.87",24.18,23.59
SPL,SITARA PEROXIDE LIMITED,"198,556.00","4,783,324.48","157,180.00","3,787,853.24",79.16,79.19
